municipio,total_dias,dias_bons,dias_aceitaveis,dias_marginais,extremos,media_score,media_maxtemp,media_mintemp,classificacao_geral
Odivelas,"366,00","166,00","34,00","166,00","5,00","63,71","21,16","14,00",Bom
Oeiras,"366,00","178,00","23,00","165,00","5,00","64,61","20,32","14,40",Bom
Oleiros,"366,00","116,00","39,00","211,00","17,00","51,89","20,84","10,61",Aceitável
Olhao,"366,00","172,00","37,00","157,00","2,00","65,75","21,25","15,58",Bom
Oliveira de Azemeis,"366,00","139,00","36,00","191,00","16,00","56,76","20,72","11,63",Aceitável
Oliveira de Frades,"366,00","104,00","38,00","224,00","18,00","49,41","19,47","10,08",Marginal
Oliveira do Bairro,"366,00","154,00","31,00","181,00","13,00","58,70","21,64","11,26",Aceitável
Oliveira do Hospital,"366,00","71,00","36,00","259,00","19,00","43,86","17,46","7,49",Marginal
Ourem,"366,00","130,00","43,00","193,00","14,00","54,55","21,43","11,22",Aceitável
Ourique,"366,00","105,00","61,00","200,00","13,00","53,45","21,22","12,38",Aceitável
Ovar,"366,00","163,00","30,00","173,00","3,00","61,59","19,69","12,32",Bom
Pacos de Ferreira,"366,00","122,00","35,00","209,00","15,00","53,59","20,59","11,29",Aceitável
Palmela,"366,00","144,00","57,00","165,00","9,00","59,96","22,02","13,43",Aceitável
Pampilhosa da Serra,"366,00","131,00","44,00","191,00","16,00","54,90","21,96","10,96",Aceitável
Paredes,"366,00","122,00","35,00","209,00","15,00","53,59","20,59","11,29",Aceitável
Paredes de Coura,"366,00","124,00","42,00","200,00","17,00","52,75","20,72","11,00",Aceitável
Pedrogao Grande,"366,00","131,00","44,00","191,00","16,00","54,90","21,96","10,96",Aceitável
Penacova,"366,00","131,00","44,00","191,00","16,00","54,90","21,96","10,96",Aceitável
Penafiel,"366,00","122,00","35,00","209,00","15,00","53,59","20,59","11,29",Aceitável
