01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2011,Campo Maior,Município,T0 ou T1,,,, fogos,0
2011,Campo Maior,Município,T2,,,, fogos,7
2011,Campo Maior,Município,T3,,,, fogos,12
2011,Campo Maior,Município,T4 ou mais,,,, fogos,4
2011,Campo Maior,Município,Total,,,, fogos,23
2011,Cantanhede,Município,T0 ou T1,,,, fogos,13
2011,Cantanhede,Município,T2,,,, fogos,21
2011,Cantanhede,Município,T3,,,, fogos,56
2011,Cantanhede,Município,T4 ou mais,,,, fogos,34
2011,Cantanhede,Município,Total,,,, fogos,124
2011,Carrazeda de Ansiães,Município,T0 ou T1,,,, fogos,0
2011,Carrazeda de Ansiães,Município,T2,,,, fogos,2
2011,Carrazeda de Ansiães,Município,T3,,,, fogos,7
2011,Carrazeda de Ansiães,Município,T4 ou mais,,,, fogos,4
2011,Carrazeda de Ansiães,Município,Total,,,, fogos,13
2011,Carregal do Sal,Município,T0 ou T1,,,, fogos,1
2011,Carregal do Sal,Município,T2,,,, fogos,4
2011,Carregal do Sal,Município,T3,,,, fogos,11
2011,Carregal do Sal,Município,T4 ou mais,,,, fogos,7
2011,Carregal do Sal,Município,Total,,,, fogos,23
2011,Cartaxo,Município,T0 ou T1,,,, fogos,2
2011,Cartaxo,Município,T2,,,, fogos,7
2011,Cartaxo,Município,T3,,,, fogos,25
2011,Cartaxo,Município,T4 ou mais,,,, fogos,19
2011,Cartaxo,Município,Total,,,, fogos,53
2011,Cascais,Município,T0 ou T1,,,, fogos,10
2011,Cascais,Município,T2,,,, fogos,91
2011,Cascais,Município,T3,,,, fogos,145
2011,Cascais,Município,T4 ou mais,,,, fogos,94
2011,Cascais,Município,Total,,,, fogos,340
2011,Castanheira de Pêra,Município,T0 ou T1,,,, fogos,2
2011,Castanheira de Pêra,Município,T2,,,, fogos,3
2011,Castanheira de Pêra,Município,T3,,,, fogos,3
2011,Castanheira de Pêra,Município,T4 ou mais,,,, fogos,3
2011,Castanheira de Pêra,Município,Total,,,, fogos,11
2011,Castelo Branco,Município,T0 ou T1,,,, fogos,2
2011,Castelo Branco,Município,T2,,,, fogos,38
2011,Castelo Branco,Município,T3,,,, fogos,38
2011,Castelo Branco,Município,T4 ou mais,,,, fogos,63
2011,Castelo Branco,Município,Total,,,, fogos,141
2011,Castelo de Paiva,Município,T0 ou T1,,,, fogos,0
2011,Castelo de Paiva,Município,T2,,,, fogos,5
2011,Castelo de Paiva,Município,T3,,,, fogos,32
2011,Castelo de Paiva,Município,T4 ou mais,,,, fogos,7
2011,Castelo de Paiva,Município,Total,,,, fogos,44
2011,Castelo de Vide,Município,T0 ou T1,,,, fogos,0
2011,Castelo de Vide,Município,T2,,,, fogos,4
2011,Castelo de Vide,Município,T3,,,, fogos,5
2011,Castelo de Vide,Município,T4 ou mais,,,, fogos,2
2011,Castelo de Vide,Município,Total,,,, fogos,11
2011,Castro Daire,Município,T0 ou T1,,,, fogos,3
2011,Castro Daire,Município,T2,,,, fogos,11
2011,Castro Daire,Município,T3,,,, fogos,31
2011,Castro Daire,Município,T4 ou mais,,,, fogos,10
2011,Castro Daire,Município,Total,,,, fogos,55
2011,Castro Marim,Município,T0 ou T1,,,, fogos,9
2011,Castro Marim,Município,T2,,,, fogos,5
2011,Castro Marim,Município,T3,,,, fogos,13
2011,Castro Marim,Município,T4 ou mais,,,, fogos,3
2011,Castro Marim,Município,Total,,,, fogos,30
2011,Castro Verde,Município,T0 ou T1,,,, fogos,0
2011,Castro Verde,Município,T2,,,, fogos,0
2011,Castro Verde,Município,T3,,,, fogos,8
2011,Castro Verde,Município,T4 ou mais,,,, fogos,6
2011,Castro Verde,Município,Total,,,, fogos,14
2011,Celorico da Beira,Município,T0 ou T1,,,, fogos,0
2011,Celorico da Beira,Município,T2,,,, fogos,1
