01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Borba,Município,25-34,,,,,70.4
2009,Borba,Município,35-44,,,,,62.3
2009,Borba,Município,45-54,,,,,66.5
2009,Borba,Município,55 ou mais anos,,,,,37.2
2009,Borba,Município,Menos de 25 anos,,,,,59.0
2009,Borba,Município,Total,,,,,295.3
2009,Boticas,Município,25-34,,,,,41.9
2009,Boticas,Município,35-44,,,,,43.4
2009,Boticas,Município,45-54,,,,,45.6
2009,Boticas,Município,55 ou mais anos,,,,,41.3
2009,Boticas,Município,Menos de 25 anos,,,,,32.8
2009,Boticas,Município,Total,,,,,205.0
2009,Braga,Município,25-34,,,,,2350.3
2009,Braga,Município,35-44,,,,,1996.8
2009,Braga,Município,45-54,,,,,2264.1
2009,Braga,Município,55 ou mais anos,,,,,1846.4
2009,Braga,Município,Menos de 25 anos,,,,,1112.5
2009,Braga,Município,Total,,,,,9570.1
2009,Bragança,Município,25-34,,,,,492.8
2009,Bragança,Município,35-44,,,,,301.7
2009,Bragança,Município,45-54,,,,,254.0
2009,Bragança,Município,55 ou mais anos,,,,,199.8
2009,Bragança,Município,Menos de 25 anos,,,,,271.0
2009,Bragança,Município,Total,,,,,1519.3
2009,Cabeceiras de Basto,Município,25-34,,,,,279.3
2009,Cabeceiras de Basto,Município,35-44,,,,,244.8
2009,Cabeceiras de Basto,Município,45-54,,,,,249.3
2009,Cabeceiras de Basto,Município,55 ou mais anos,,,,,146.3
2009,Cabeceiras de Basto,Município,Menos de 25 anos,,,,,200.3
2009,Cabeceiras de Basto,Município,Total,,,,,1120.1
2009,Cadaval,Município,25-34,,,,,117.3
2009,Cadaval,Município,35-44,,,,,126.5
2009,Cadaval,Município,45-54,,,,,107.0
2009,Cadaval,Município,55 ou mais anos,,,,,81.7
2009,Cadaval,Município,Menos de 25 anos,,,,,75.9
2009,Cadaval,Município,Total,,,,,508.3
2009,Caldas da Rainha,Município,25-34,,,,,638.3
2009,Caldas da Rainha,Município,35-44,,,,,568.3
2009,Caldas da Rainha,Município,45-54,,,,,549.4
2009,Caldas da Rainha,Município,55 ou mais anos,,,,,396.2
2009,Caldas da Rainha,Município,Menos de 25 anos,,,,,327.0
2009,Caldas da Rainha,Município,Total,,,,,2479.1
2009,Calheta [R.A.A.],Município,25-34,,,,x,
2009,Calheta [R.A.A.],Município,35-44,,,,x,
2009,Calheta [R.A.A.],Município,45-54,,,,x,
2009,Calheta [R.A.A.],Município,55 ou mais anos,,,,x,
2009,Calheta [R.A.A.],Município,Menos de 25 anos,,,,x,
2009,Calheta [R.A.A.],Município,Total,,,,x,
2009,Calheta [R.A.M.],Município,25-34,,,,x,
2009,Calheta [R.A.M.],Município,35-44,,,,x,
2009,Calheta [R.A.M.],Município,45-54,,,,x,
2009,Calheta [R.A.M.],Município,55 ou mais anos,,,,x,
2009,Calheta [R.A.M.],Município,Menos de 25 anos,,,,x,
2009,Calheta [R.A.M.],Município,Total,,,,x,
2009,Câmara de Lobos,Município,25-34,,,,x,
2009,Câmara de Lobos,Município,35-44,,,,x,
2009,Câmara de Lobos,Município,45-54,,,,x,
2009,Câmara de Lobos,Município,55 ou mais anos,,,,x,
2009,Câmara de Lobos,Município,Menos de 25 anos,,,,x,
2009,Câmara de Lobos,Município,Total,,,,x,
2009,Caminha,Município,25-34,,,,,153.9
2009,Caminha,Município,35-44,,,,,115.8
2009,Caminha,Município,45-54,,,,,128.7
2009,Caminha,Município,55 ou mais anos,,,,,108.9
2009,Caminha,Município,Menos de 25 anos,,,,,77.0
2009,Caminha,Município,Total,,,,,584.3
2009,Campo Maior,Município,25-34,,,,,107.3
2009,Campo Maior,Município,35-44,,,,,74.1
2009,Campo Maior,Município,45-54,,,,,54.0
2009,Campo Maior,Município,55 ou mais anos,,,,,53.8
2009,Campo Maior,Município,Menos de 25 anos,,,,,94.1
2009,Campo Maior,Município,Total,,,,,383.2
2009,Cantanhede,Município,25-34,,,,,345.3
2009,Cantanhede,Município,35-44,,,,,217.0
