;Cidades;202101;202102;202103;202104;202105;202106;202107;202108;202109;202110;202111;202112
188;Moura;12,0;15,0;16,0;19,0;20,0;31,0;24,0;35,0;26,0;23,0;18,0;16,5
189;Mourao;13,0;14,0;15,0;16,0;16,0;18,5;19,0;21,0;22,0;20,0;17,0;15,0
190;Murca;9,0;12,0;16,0;17,0;20,0;26,0;29,0;31,0;25,0;20,0;14,0;12,0
191;Murtosa;13,0;14,5;17,0;19,0;19,0;21,5;22,0;24,0;24,5;22,0;17,5;16,0
192;Nazare;12,0;14,5;16,0;18,5;19,0;21,0;22,0;24,0;24,0;22,0;18,0;16,0
193;Nelas;10,0;12,0;16,0;19,0;21,0;27,0;30,0;32,0;26,0;22,0;15,0;13,5
194;Nisa;10,0;12,5;15,0;17,5;23,0;28,5;32,0;33,0;27,0;25,0;15,0;14,0
195;Nordeste;16,0;15,0;16,0;17,0;18,0;21,0;22,0;24,0;23,0;22,0;20,0;18,0
196;Odemira;12,0;14,5;16,0;18,0;22,0;24,5;28,0;29,0;28,0;25,0;18,0;16,0
197;Odivelas;14,0;16,0;17,0;19,0;22,0;24,0;25,0;27,0;27,0;25,0;20,0;17,0
198;Oeiras;14,0;16,0;18,0;18,5;20,0;21,5;23,0;24,0;26,0;23,0;19,5;17,0
199;Oeste;-1,0;-3,0;2,0;4,5;11,0;18,0;30,0;19,0;13,0;30,0;7,0;28,0
200;Oleiros;8,0;10,5;15,0;16,0;20,0;25,0;30,0;32,0;24,0;20,0;13,5;11,0
201;Olhao;13,0;16,0;17,0;18,0;22,0;23,0;25,0;26,0;26,0;24,0;20,0;18,0
202;Oliveira de Azemeis;13,0;14,0;18,0;20,0;20,0;25,0;25,0;28,0;26,0;23,0;17,5;15,5
203;Oliveira de Frades;10,0;11,0;16,0;18,0;20,0;24,5;27,0;29,0;25,0;22,0;16,0;13,5
204;Oliveira do Bairro;13,0;14,0;18,0;21,0;22,0;26,0;27,0;30,0;28,0;23,0;18,5;16,0
205;Oliveira do Hospital;10,0;11,0;16,0;17,5;21,0;26,5;31,0;33,0;27,0;23,0;15,0;13,0
206;Ourem;12,0;15,0;18,0;20,0;22,0;26,0;28,0;30,0;29,0;24,0;18,0;16,0
207;Ourique;12,0;14,5;16,0;18,0;22,0;24,5;28,0;29,0;28,0;25,0;18,0;16,0
