
Quadro extraído em 28 de Julho de 2025 (19:30:24)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Valor mediano das rendas por m2 de novos contratos de arrendamento de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024) -  Semestral;;
;Período de referência dos dados;;
;2.º Semestre de 2024;1.º Semestre de 2024;
;? ;? ;
1A0110602: Alcântara;15,27;14,9;
1A0110654: Alvalade;15,07;14,45;
1A0110655: Areeiro;14,87;14,54;
1A0110656: Arroios;15;14,84;
1A0110657: Avenidas Novas;16,56;16,88;
1A0110607: Beato;15,41;14,92;
1A0110658: Belém;16,14;16,67;
1A0110608: Benfica;14,89;14,29;
1A0110659: Campo de Ourique;19,02;18,18;
1A0110610: Campolide;17,05;16,88;
1A0110611: Carnide;16,27;15,71;
1A0110660: Estrela;17,8;17,39;
1A0110618: Lumiar;14,35;14,12;
1A0110621: Marvila;15,28;15,48;
1A0110661: Misericórdia;18,35;18,76;
1A0110633: Olivais;14,16;13,52;
1A0110662: Parque das Nações;19,05;19,05;
1A0110663: Penha de França;15;14,67;
1A0110664: Santa Clara;12,16;11,24;
1A0110665: Santa Maria Maior;19,33;18,59;
1A0110666: Santo António;20;19,72;
1A0110639: São Domingos de Benfica;14,8;15,17;
1A0110667: São Vicente;16,24;16,36;
1A01107: Loures;10,56;10,15;
1A0110702: Bucelas;6,89;- -;
1A0110705: Fanhões;- -;- -;
1A0110707: Loures;10;9,75;
1A0110708: Lousa;- -;- -;
1A0110731: União das freguesias de Camarate, Unhos e Apelação;9,49;8,92;
1A0110726: União das freguesias de Moscavide e Portela;12,55;11,87;
1A0110727: União das freguesias de Sacavém e Prior Velho;12,3;12,8;
1A0110728: União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela;9,12;9,09;
1A0110729: União das freguesias de Santo Antão e São Julião do Tojal;7,39;6,45;
1A0110730: União das freguesias de Santo António dos Cavaleiros e Frielas;11,7;11,13;
1A01109: Mafra;9,49;8,75;
1A0110902: Carvoeira;- -;- -;
1A0110904: Encarnação;- -;- -;
1A0110906: Ericeira;13,47;12,3;
1A0110909: Mafra;9;8,69;
1A0110911: Milharado;6,6;6,85;
1A0110913: Santo Isidoro;- -;- -;
1A0110918: União das freguesias de Azueira e Sobral da Abelheira;- -;- -;
1A0110919: União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário;- -;7,59;
1A0110920: União das freguesias de Igreja Nova e Cheleiros;8,26;7,03;
1A0110921: União das freguesias de Malveira e São Miguel de Alcainça;7,88;7,81;
1A0110922: União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés;7,42;7,32;
1A01116: Odivelas;11,41;10,91;
1A0111603: Odivelas;12,31;11,97;
1A0111608: União das freguesias de Pontinha e Famões;10,12;9,92;
1A0111609: União das freguesias de Póvoa de Santo Adrião e Olival Basto;11,86;10,73;
1A0111610: União das freguesias de Ramada e Caneças;10,54;9,62;
1A01110: Oeiras;13,8;13,46;
1A0111002: Barcarena;11,35;11,03;
1A0111009: Porto Salvo;11,95;11,25;
1A0111012: União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;14,38;13,46;
1A0111013: União das freguesias de Carnaxide e Queijas;12,56;12,31;
1A0111014: União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias;14,9;14,88;
1A01111: Sintra;10,2;9,7;
1A0111102: Algueirão-Mem Martins;9,97;9,47;
1A0111115: Casal de Cambra;8,04;8,45;
1A0111105: Colares;10,24;8,81;
1A0111108: Rio de Mouro;10,1;9,78;
1A0111122: União das freguesias de Agualva e Mira-Sintra;10,82;10;
1A0111123: União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar;7,27;6,39;
1A0111125: União das freguesias de Massamá e Monte Abraão;10,53;9,77;
1A0111126: União das freguesias de Queluz e Belas;11,03;10,36;
1A0111127: União das freguesias de São João das Lampas e Terrugem;7,18;7,18;
1A0111128: União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim);10,77;10,45;
1A0111124: União das freguesias do Cacém e São Marcos;10,72;10,49;
1A01114: Vila Franca de Xira;9,76;9,43;
1A0111412: União das freguesias de Alhandra, São João dos Montes e Calhandriz;8,57;8,2;
1A0111413: União das freguesias de Alverca do Ribatejo e Sobralinho;10,1;10;
1A0111414: União das freguesias de Castanheira do Ribatejo e Cachoeiras;8,69;8,51;
1A0111415: União das freguesias de Póvoa de Santa Iria e Forte da Casa;10,02;9,74;
1A0111408: Vialonga;9,34;9,05;
1A0111409: Vila Franca de Xira;9,8;9,29;
1B: Península de Setúbal;9,99;9,49;
1B0: Península de Setúbal;9,99;9,49;
1B01502: Alcochete;9,24;9;
1B0150201: Alcochete;9,49;9,15;
1B0150202: Samouco;- -;- -;
1B0150203: São Francisco;- -;- -;
1B01503: Almada;11,76;11,34;
1B0150303: Costa da Caparica;15,37;14,66;
1B0150312: União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas;11,84;11,45;
1B0150313: União das freguesias de Caparica e Trafaria;9,38;8,93;
1B0150314: União das freguesias de Charneca de Caparica e Sobreda;11,35;10,92;
1B0150315: União das freguesias de Laranjeiro e Feijó;11,19;10,4;
1B01504: Barreiro;10,04;9,45;
1B0150407: Santo António da Charneca;8,37;7,71;
1B0150409: União das freguesias de Alto do Seixalinho, Santo André e Verderena;10,32;9,94;
1B0150410: União das freguesias de Barreiro e Lavradio;9,88;8,63;
1B0150411: União das freguesias de Palhais e Coina;- -;- -;
1B01506: Moita;9,1;8,44;
1B0150601: Alhos Vedros;7,73;7,55;
1B0150603: Moita;8,27;8,26;
1B0150607: União das freguesias de Baixa da Banheira e Vale da Amoreira;10,19;9,1;
1B0150608: União das freguesias de Gaio-Rosário e Sarilhos Pequenos;- -;- -;
1B01507: Montijo;9,12;8,56;
1B0150701: Canha;- -;- -;
1B0150704: Sarilhos Grandes;- -;- -;
1B0150709: União das freguesias de Atalaia e Alto Estanqueiro-Jardia;- -;- -;
